GRE_Score,LOR,CGPA,Chance_of_Admit
331,3.5,9.44,0.92
340,4,9.92,0.97
325,3.5,8.96,0.8
320,2.5,8.64,0.81
315,2.5,8.48,0.75
326,3,9.11,0.83
339,3.5,9.8,0.96
311,3,8.26,0.79
334,4,9.43,0.93
332,5,9.28,0.94
321,5,9.06,0.86
324,4,8.75,0.79
326,3.5,8.89,0.8
312,3,8.69,0.77
315,2.5,8.34,0.7
309,2.5,8.26,0.65
306,2.5,8.14,0.61
297,2,7.9,0.52
315,2,7.86,0.57
298,3,7.46,0.53
318,3,8.5,0.67
317,3,8.56,0.68
329,4,9.01,0.81
322,4,8.97,0.78
302,5,8.33,0.65
313,3,8.27,0.64
293,4,7.8,0.64
311,3,7.98,0.65
312,3.5,8.04,0.68
334,4.5,9.07,0.89
322,5,9.13,0.86
323,4.5,9.23,0.89
321,4,8.97,0.87
320,3.5,8.87,0.85
329,4.5,9.16,0.9
319,3.5,9.04,0.82
309,3,8.12,0.72
307,3,8.27,0.73
300,3,8.16,0.71
305,2.5,8.42,0.71
299,3.5,7.88,0.68
314,4,8.8,0.75
316,4,8.32,0.72
327,4.5,9.11,0.89
317,3,8.68,0.84
335,3.5,9.44,0.93
331,3.5,9.36,0.93
324,5,9.08,0.88
324,4,9.16,0.9
323,5,8.98,0.87
322,4,8.94,0.86
336,5,9.53,0.94
316,3,8.76,0.77
307,3.5,8.52,0.78
306,2.5,8.26,0.73
310,2.5,8.33,0.73
311,4.5,8.43,0.7
313,4.5,8.69,0.72
317,3,8.54,0.73
315,3,8.46,0.72
340,4.5,9.91,0.97
334,5,9.87,0.97
298,4,8.54,0.69
295,3,7.65,0.57
315,3,7.89,0.63
310,4,8.02,0.66
305,3,8.16,0.64
301,4,8.12,0.68
325,4,9.06,0.79
328,4,9.14,0.82
338,5,9.66,0.95
333,4.5,9.78,0.96
331,5,9.42,0.94
330,4.5,9.36,0.93
322,4.5,9.26,0.91
321,4,9.13,0.85
324,3.5,8.97,0.84
312,3.5,8.42,0.74
313,4,8.75,0.76
316,4,8.56,0.75
324,4,8.79,0.76
308,4,8.45,0.71
305,2,8.23,0.67
296,2.5,8.03,0.61
306,4,8.45,0.63
312,3,8.53,0.64
318,3.5,8.67,0.71
324,3,9.01,0.82
313,4.5,8.65,0.73
319,2.5,8.33,0.74
312,3.5,8.27,0.69
304,3.5,8.07,0.64
330,4,9.31,0.91
326,4,9.23,0.88
325,4.5,9.17,0.85
329,5,9.19,0.86
310,3.5,8.37,0.7
299,2,7.89,0.59
296,3,7.68,0.6
317,2,8.15,0.65
324,3,8.76,0.7
325,3,9.04,0.76
314,4,8.56,0.63
328,2.5,9.02,0.81
316,3.5,8.73,0.72
311,3.5,8.48,0.71
324,4,8.87,0.8
321,4,8.83,0.77
320,2.5,8.57,0.74
316,3,9,0.7
318,3.5,8.54,0.71
335,4.5,9.68,0.93
321,5,9.12,0.85
307,4.5,8.37,0.79
309,4,8.56,0.76
324,5,8.64,0.78
326,5,8.76,0.77
331,4.5,9.34,0.9
327,3.5,9.13,0.87
312,4,8.09,0.71
308,4,8.36,0.7
324,1.5,8.79,0.7
325,2.5,8.76,0.75
313,2.5,8.68,0.71
312,2.5,8.45,0.72
314,3.5,8.17,0.73
327,5,9.14,0.83
308,5,8.34,0.77
306,3,8.22,0.72
299,2,7.86,0.54
294,1.5,7.64,0.49
312,1.5,8.01,0.52
315,2.5,7.95,0.58
322,3,8.96,0.78
329,4.5,9.45,0.89
320,3,8.62,0.7
308,3.5,8.49,0.66
304,4,8.73,0.67
311,4,8.64,0.68
317,4.5,9.11,0.8
312,3.5,8.79,0.81
321,3,8.9,0.8
340,4.5,9.66,0.94
331,4,9.26,0.93
336,4,9.19,0.92
324,4.5,9.08,0.89
314,5,9.02,0.82
313,3.5,9,0.79
307,3,7.65,0.58
300,2,7.87,0.56
302,2,7.97,0.56
312,3,8.18,0.64
316,2,8.32,0.61
317,2.5,8.57,0.68
310,3.5,8.67,0.76
320,4.5,9.11,0.86
330,4.5,9.24,0.9
305,3.5,8.65,0.71
309,2.5,8,0.62
319,3,8.76,0.66
322,3,8.45,0.65
323,3.5,8.55,0.73
313,2,8.43,0.62
321,3.5,8.8,0.74
323,3.5,9.1,0.79
325,4,9,0.8
312,3,8.53,0.69
308,3,8.6,0.7
320,3.5,8.74,0.76
328,4,9.18,0.84
311,4.5,9,0.78
301,3,8.04,0.67
305,4,8.13,0.66
308,3,8.07,0.65
298,2,7.86,0.54
300,2.5,8.01,0.58
324,2,8.8,0.79
327,3,8.69,0.8
317,3.5,8.5,0.75
323,4,8.44,0.73
314,4,8.27,0.72
305,2.5,8.18,0.62
315,2.5,8.33,0.67
326,4,9.14,0.81
299,2,8.02,0.63
295,2,7.86,0.69
324,3.5,8.77,0.8
297,1.5,7.89,0.43
327,3,8.66,0.8
311,2,8.12,0.73
308,2.5,8.21,0.75
319,3.5,8.54,0.71
312,4,8.65,0.73
325,4.5,9.11,0.83
319,2.5,8.79,0.72
332,5,9.47,0.94
323,4,8.74,0.81
324,4,8.66,0.81
312,3,8.46,0.75
326,3.5,8.76,0.79
308,3,8.24,0.58
305,3.5,8.13,0.59
295,2,7.34,0.47
316,2,7.43,0.49
304,2,7.64,0.47
299,1,7.34,0.42
302,2,7.25,0.57
313,3,8.04,0.62
318,3.5,8.27,0.74
325,4,8.67,0.73
303,3.5,8.06,0.64
300,2.5,8.17,0.63
297,3,7.67,0.59
317,3.5,8.12,0.73
327,4,8.77,0.79
301,3.5,7.89,0.68
314,2,7.64,0.7
321,1.5,8.44,0.81
322,5,8.64,0.85
334,3.5,9.54,0.93
338,5,9.23,0.91
306,3,8.36,0.69
313,4,8.9,0.77
330,3,9.17,0.86
320,4.5,8.34,0.74
311,2.5,7.46,0.57
298,2,7.88,0.51
301,3,8.03,0.67
310,2.5,8.24,0.72
324,3,9.22,0.89
336,4,9.62,0.95
321,3,8.54,0.79
315,2.5,7.65,0.39
304,2.5,7.66,0.38
297,2,7.43,0.34
290,2,7.56,0.47
303,2.5,7.65,0.56
311,3,8.43,0.71
322,4,8.84,0.78
319,3.5,8.67,0.73
324,4,9.15,0.82
300,3.5,8.26,0.62
340,5,9.74,0.96
335,5,9.82,0.96
302,3.5,7.96,0.46
307,3.5,8.1,0.53
296,2,7.8,0.49
320,4,8.44,0.76
314,2.5,8.24,0.64
318,3,8.65,0.71
326,3.5,9.12,0.84
317,3,8.76,0.77
329,4,9.23,0.89
324,3.5,9.04,0.82
325,3.5,9.11,0.84
330,4.5,9.45,0.91
312,4,8.78,0.67
333,4,9.66,0.95
304,3,8.22,0.63
315,3,8.34,0.66
324,3,8.94,0.78
330,3.5,9.23,0.91
311,2.5,7.64,0.62
302,3,7.45,0.52
322,2.5,8.02,0.61
298,4,7.95,0.58
297,4,7.67,0.57
300,2.5,8.02,0.61
301,4,7.56,0.54
313,1.5,8.13,0.56
314,2,7.88,0.59
317,2,7.94,0.49
321,4,8.35,0.72
327,4.5,8.75,0.76
315,2.5,8.1,0.65
316,2,7.68,0.52
309,4,8.03,0.6
308,3.5,7.98,0.58
299,3,7.42,0.42
321,4.5,8.95,0.77
322,2.5,9.02,0.73
334,5,9.54,0.94
325,5,9.46,0.91
323,5,9.86,0.92
312,5,8.57,0.71
310,5,8.65,0.71
316,4.5,8.74,0.69
340,4.5,9.06,0.95
311,3.5,8.13,0.74
320,3.5,8.78,0.73
324,4,9.22,0.86
316,5,8.54,0.71
306,3,8.21,0.64
309,4,7.68,0.55
310,4,7.23,0.58
317,3.5,7.65,0.61
318,3.5,8.54,0.67
312,3,8.46,0.66
305,1.5,7.79,0.53
332,3,8.66,0.79
331,4.5,9.44,0.92
321,4.5,9.16,0.87
324,5,9.25,0.92
328,5,9.08,0.91
327,5,9.67,0.93
320,5,8.97,0.84
312,4,9.02,0.8
315,4.5,9.13,0.79
320,4.5,8.86,0.82
324,4.5,9.25,0.89
328,3.5,9.6,0.93
319,4,8.76,0.73
310,3.5,8.01,0.71
305,2.5,7.64,0.59
299,2,7.88,0.51
295,1.5,7.57,0.37
312,3,8.53,0.69
329,3.5,9.36,0.89
319,4.5,8.66,0.77
301,2,8.13,0.68
307,3,7.94,0.62
304,3,7.86,0.57
298,3,7.21,0.45
305,4.5,8.26,0.54
314,4.5,8.73,0.71
318,5,8.78,0.78
323,5,8.88,0.81
326,3.5,9.16,0.86
320,4,9.27,0.87
311,4,8.09,0.64
327,4.5,9.48,0.9
316,3.5,8.15,0.67
308,2.5,7.95,0.67
300,2.5,7.88,0.59
304,2,8.12,0.62
309,2,8.18,0.65
318,4.5,8.49,0.71
325,4,8.96,0.79
321,4,9.01,0.8
323,2.5,8.48,0.78
328,2.5,8.77,0.83
304,3,7.92,0.71
317,3,7.89,0.73
311,3.5,8.34,0.7
319,2.5,8.37,0.68
327,4,9.14,0.79
322,4,8.62,0.76
302,4.5,8.5,0.65
307,4.5,8.12,0.67
297,3.5,7.81,0.54
298,4.5,7.69,0.53
300,1.5,8.22,0.62
301,2,8.45,0.68
332,4,9.02,0.87
337,5,9.87,0.96
330,5,9.56,0.93
312,5,8.43,0.73
327,4.5,9.04,0.84
